X Gaze Data, Y Gaze Data, Time 
1294,277,7612190
1293,276,7612202
1293,277,7612214
1293,277,7612223
1294,277,7612235
1299,277,7612247
1299,277,7612256
1299,276,7612269
1301,274,7612280
1301,274,7612290
1299,272,7612302
1301,271,7612314
1301,271,7612323
1302,273,7612335
1301,269,7612347
1302,268,7612356
1302,267,7612369
1302,266,7612381
1303,266,7612390
1305,269,7612402
1305,269,7612414
1305,269,7612423
1307,268,7612435
1312,271,7612447
1312,271,7612456
1313,271,7612469
1314,270,7612481
1314,269,7612489
1315,265,7612502
1315,264,7612514
1315,263,7612523
1315,262,7612535
1316,261,7612547
1316,261,7612556
1316,261,7612569
1314,261,7612581
1314,261,7612589
1316,262,7612602
1310,267,7612614
1310,267,7612623
1312,267,7612635
1312,267,7612647
1312,267,7612656
1326,263,7612669
1334,265,7612681
1379,271,7612689
1465,279,7612701
1572,274,7612714
1578,274,7612723
1585,273,7612735
1602,272,7612748
1605,271,7612756
1605,274,7612768
1604,275,7612781
1606,275,7612789
1615,271,7612801
1608,271,7612814
1608,271,7612823
1607,272,7612835
1607,273,7612847
1607,274,7612856
1606,275,7612868
1611,275,7612880
1619,280,7612889
1623,282,7612901
1670,299,7612914
1671,299,7612923
1677,300,7612935
1680,299,7612947
1681,299,7612956
1684,300,7612968
1684,302,7612980
1684,302,7612989
1683,299,7613001
1683,298,7613014
1682,298,7613023
1677,293,7613035
1680,295,7613047
1680,295,7613056
1679,294,7613068
1687,290,7613080
1687,290,7613089
1681,292,7613101
1688,291,7613114
1603,226,7613123
1549,185,7613134
1396,74,7613147
1296,1,7613156
1216,-56,7613168
1173,-87,7613180
1130,-119,7613189
1111,-133,7613201
1094,-142,7613213
1082,-150,7613222
1081,-149,7613234
1081,-149,7613247
1083,-143,7613256
1096,-115,7613268
1095,-116,7613280
1093,-122,7613289
1090,-127,7613301
1086,-134,7613313
1085,-136,7613322
1084,-138,7613334
1086,-138,7613347
1086,-138,7613356
1085,-143,7613367
1088,-139,7613380
1088,-139,7613389
1085,-141,7613401
1085,-141,7613413
1083,-141,7613422
1065,-137,7613434
1065,-140,7613446
1066,-134,7613456
1075,-113,7613467
1069,-130,7613480
1068,-131,7613489
1063,-130,7613501
1065,-131,7613513
1065,-131,7613522
1064,-131,7613534
1062,-130,7613547
1061,-131,7613556
1058,-135,7613568
1059,-133,7613580
1059,-133,7613589
1064,-133,7613601
1065,-134,7613613
1066,-134,7613622
1069,-134,7613634
1076,-134,7613647
1078,-134,7613656
1081,-134,7613668
1080,-134,7613680
1081,-134,7613689
1090,-135,7613701
1090,-135,7613713
1090,-134,7613722
1091,-133,7613734
1091,-132,7613746
1092,-131,7613755
1097,-129,7613768
1098,-130,7613780
1098,-130,7613789
1099,-132,7613801
1099,-131,7613813
1098,-131,7613822
1093,-131,7613834
1092,-131,7613846
1091,-131,7613855
1090,-131,7613867
1091,-131,7613880
1091,-130,7613889
1093,-132,7613901
1093,-132,7613913
1093,-131,7613922
1092,-126,7613934
1092,-122,7613946
1091,-122,7613955
1089,-124,7613967
1089,-123,7613980
1089,-123,7613989
1089,-125,7614000
1089,-125,7614013
1223,-30,7614022
1569,205,7614034
1617,242,7614046
1627,249,7614055
1637,258,7614067
1650,269,7614080
1661,277,7614088
1669,288,7614100
1675,299,7614113
1678,301,7614122
1678,302,7614134
1681,300,7614146
1680,300,7614155
1680,300,7614167
1678,301,7614180
1678,300,7614188
1675,296,7614200
1673,295,7614213
1673,296,7614222
1674,306,7614234
1675,306,7614246
1675,306,7614255
1675,306,7614267
1676,304,7614279
1676,304,7614288
1683,309,7614300
1683,309,7614313
1683,310,7614322
1687,319,7614333
1688,320,7614346
1689,321,7614355
1690,321,7614367
1702,327,7614380
1702,327,7614388
1705,330,7614400
1705,329,7614412
1705,329,7614422
1700,331,7614434
1700,331,7614446
1700,332,7614455
1702,341,7614467
1703,345,7614479
1703,345,7614488
1703,346,7614500
1703,346,7614512
1703,346,7614522
1701,346,7614533
1702,347,7614546
1758,373,7614555
1846,407,7614567
1874,414,7614579
1884,417,7614588
1894,421,7614600
1909,430,7614612
1915,433,7614621
1915,433,7614633
1913,432,7614646
1913,431,7614655
1912,431,7614667
1912,432,7614679
1912,432,7614688
1911,433,7614700
1910,433,7614712
1910,433,7614721
1910,433,7614734
1902,436,7614746
1894,429,7614755
1870,408,7614766
1837,392,7614779
1836,391,7614788
1833,390,7614800
1830,383,7614812
1829,383,7614821
1830,381,7614833
1831,380,7614846
1831,379,7614855
1831,378,7614867
1830,378,7614879
1832,379,7614888
1835,382,7614900
1835,381,7614912
1835,379,7614921
1836,376,7614933
1840,368,7614946
1840,367,7614955
1841,367,7614967
1843,367,7614979
1849,368,7614988
1864,370,7615000
1866,370,7615012
1872,369,7615021
1882,367,7615033
1896,366,7615045
1898,366,7615055
1899,366,7615067
1899,366,7615079
1898,365,7615088
1898,360,7615100
1898,361,7615112
1897,361,7615121
1887,362,7615133
1880,362,7615145
1880,363,7615154
1881,365,7615166
1881,366,7615179
1882,365,7615188
1885,362,7615200
1884,361,7615212
1884,361,7615221
1888,358,7615233
1889,359,7615245
1888,358,7615254
1888,357,7615266
1888,357,7615279
1887,359,7615288
1883,362,7615300
1882,364,7615312
1876,362,7615321
1865,357,7615333
1823,349,7615345
1822,348,7615354
1820,348,7615367
1820,347,7615378
1820,347,7615388
1821,347,7615400
1822,346,7615412
1819,345,7615421
1808,346,7615433
1809,345,7615445
1809,345,7615454
1810,344,7615466
1808,345,7615478
1808,345,7615488
1806,346,7615500
1806,346,7615512
1805,345,7615521
1803,342,7615533
1803,342,7615545
1804,342,7615554
1804,343,7615566
1804,342,7615578
1804,341,7615588
1803,338,7615599
1804,338,7615612
1803,341,7615621
1803,364,7615633
1803,359,7615645
1803,358,7615654
1805,354,7615666
1806,352,7615678
1813,356,7615688
1854,373,7615700
1856,382,7615712
1856,382,7615721
1857,383,7615733
1857,389,7615745
1858,390,7615754
1859,391,7615766
1859,394,7615778
1859,392,7615787
1860,380,7615799
1860,380,7615812
1860,381,7615821
1859,383,7615833
1858,383,7615845
1849,381,7615854
1809,368,7615866
1811,367,7615878
1812,367,7615887
1812,366,7615900
1813,359,7615912
1813,358,7615921
1813,358,7615933
1820,357,7615945
1821,357,7615954
1822,356,7615966
1822,356,7615978
1821,357,7615987
1815,363,7615999
1815,363,7616012
1815,363,7616021
1813,360,7616033
1813,361,7616045
1813,361,7616054
1812,360,7616066
1813,359,7616078
1813,359,7616087
1815,357,7616099
1814,358,7616112
1815,357,7616120
